"Jahr";"Erdgasverkauf insgesamt in Mill kWh";"darunter Erdgasverkauf an Privatkunden";"darunter Erdgasverkauf an Geschäftskunden";"Stromverkauf insgesamt in Mill kWh";"darunter Stromverkauf an Privatkunden";"darunter Stromverkauf an Geschäftskunden";"Fernwärmeverkauf in Mill kWh";"Nahwärmeverkauf in Mill kWh";"Wasserverkauf insgesamt in Mill m³";"davon an Privatkunden";"davon an Geschäftskunden"
"1994";4804;3464;1340;2207;1064;1142;392;158;60;39;22
"1995";5052;3701;1350;2196;1067;1129;393;169;59;38;21
"1996";5636;4268;1369;2236;1110;1126;450;214;59;37;22
"1997";4943;3727;1216;2204;1075;1129;429;198;59;37;22
"1998";4942;3760;1182;2223;1070;1153;421;245;56;36;20
"1999";4639;3482;1158;2218;1040;1178;401;248;52;36;16
"2000";4478;3393;1085;2234;1026;1143;373;251;52;36;16
"2001";4803;3606;1197;2255;1032;1089;398;266;47;37;10
"2002";4869;3466;1199;2291;1012;1080;372;260;42;36;6
"2003";5109;3569;1339;2336;1066;1053;376;249;41;35;6
"2004";5152;3625;1287;2386;1024;1130;363;271;40;34;6
"2005";4882;3368;1271;2396;1016;1198;341;243;38;32;6
"2006";4766;3303;1235;2411;1008;1199;433;245;37;32;5
"2007";4490;3027;1218;2385;956;1176;382;221;36;31;5
"2008";4746;3243;1215;2422;957;1118;391;255;36;32;5
"2009";4462;2995;1007;2380;884;975;387;245;35;31;4
"2010";4980;3181;980;2361;914;763;418;290;35;31;4
"2011";4485;2477;1009;2369;849;807;366;239;36;31;5
"2012";4672;2757;901;2357;893;712;378;245;35;31;4
"2013";4855;2693;896;2309;872;667;394;261;35;31;4
"2014";4022;1987;961;2258;870;627;318;182;34;30;4
"2015";4484;2163;1009;2263;856;616;331;258;34;30;4
"2016";4808;2147;547;2189;795;553;344;244;36;32;4
"2017";4838;1989;573;2157;755;571;333;255;35;31;4
